step,vehicle,speed,distance_to_intersection,decision
0,car0,13.89,97.16946898540398,FREE
1,car0,13.89,83.33589966472377,FREE
2,car0,13.89,69.5242611457556,FREE
2,car1,13.032987,107.85692259382256,FREE
3,car0,13.89,55.750855129839394,FREE
3,car1,13.032987,94.86465607799397,FREE
4,car0,13.89,42.053264468579066,PROCEED
4,car1,13.032987,81.88536031907589,FREE
4,car2,13.89,143.4596018890417,FREE
5,car0,12.28633333333333,30.083439004700942,PROCEED
5,car1,13.032987,68.92636314775547,FREE
5,car2,13.89,129.6174966039146,FREE
6,car0,7.786333333333334,22.672944323839594,PROCEED
6,car1,13.032987,56.00175782393088,FREE
6,car2,13.89,115.78664171631453,FREE
6,car3,13.89,133.59474377038467,FREE
7,car0,3.2863333333333364,19.632547476284756,PROCEED
7,car1,13.032987,43.142464722900435,WAIT
7,car2,13.89,101.97161515044984,FREE
7,car3,13.89,119.7582214991177,FREE
8,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
8,car1,8.532987,34.79332323717914,WAIT
8,car2,13.89,88.17985662958185,FREE
8,car3,13.89,105.935994238844,FREE
9,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
9,car1,4.032987,30.882234211587765,WAIT
9,car2,13.89,74.424302861422,FREE
9,car3,13.89,92.1344959246898,FREE
10,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
10,car1,0.0,30.882234211587765,WAIT
10,car2,13.89,60.729560511966675,FREE
10,car3,13.89,78.36467959740932,FREE
11,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
11,car1,0.0,30.882234211587765,WAIT
11,car2,13.89,47.148649035974195,FREE
11,car3,13.89,64.64679329012537,FREE
12,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
12,car1,0.0,30.882234211587765,WAIT
12,car2,13.89,33.818983045491116,WAIT
12,car3,13.89,51.02273965764107,FREE
13,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
13,car1,0.0,30.882234211587765,WAIT
13,car2,9.39,25.15309650219404,WAIT
13,car3,13.89,37.594670457796035,WAIT
14,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
14,car1,0.0,30.882234211587765,WAIT
14,car2,4.890000000000001,20.889297399849045,WAIT
14,car3,9.39,28.767166275914157,WAIT
