step,vehicle,speed,distance_to_intersection,time_to_intersection,raw_decision,final_decision,conflict
0,car0,13.89,97.16946898540398,6.99564211557984,FREE,FREE,False
1,car0,13.89,83.33589966472377,5.999704799476153,FREE,FREE,False
2,car0,13.89,69.5242611457556,5.005346374784421,FREE,FREE,False
2,car1,13.032987,107.85692259382256,8.275687115610761,FREE,FREE,False
3,car0,13.89,55.750855129839394,4.013740470110827,FREE,FREE,False
3,car1,13.032987,94.86465607799397,7.27881153245944,FREE,FREE,False
4,car0,13.89,42.053264468579066,3.0275928343109477,PROCEED,PROCEED,False
4,car1,13.032987,81.88536031907589,6.282931174494065,FREE,FREE,False
4,car2,13.89,143.4596018890417,10.328265074805017,FREE,FREE,False
5,car0,12.28633333333333,30.083439004700942,2.4485286365366083,PROCEED,PROCEED,False
5,car1,13.032987,68.92636314775547,5.288608294303943,FREE,FREE,True
5,car2,13.89,129.6174966039146,9.331713218424376,FREE,FREE,False
6,car0,7.786333333333334,22.672944323839594,2.911889762897332,PROCEED,PROCEED,False
6,car1,13.032987,56.00175782393088,4.296924244912612,FREE,FREE,True
6,car2,13.89,115.78664171631453,8.335971325868577,FREE,FREE,False
6,car3,13.89,133.59474377038467,9.618052107299112,FREE,FREE,False
7,car0,3.2863333333333364,19.632547476284756,5.973997609174786,PROCEED,PROCEED,True
7,car1,13.032987,43.142464722900435,3.3102514966753542,WAIT,WAIT,True
7,car2,13.89,101.97161515044984,7.341368981313883,FREE,FREE,True
7,car3,13.89,119.7582214991177,8.621902195760812,FREE,FREE,True
8,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
8,car1,8.532987,34.79332323717914,4.077508056344061,WAIT,WAIT,False
8,car2,13.89,88.17985662958185,6.348441801985734,FREE,FREE,True
8,car3,13.89,105.935994238844,7.626781442681353,FREE,FREE,False
9,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
9,car1,4.032987,30.882234211587765,7.657409808558213,WAIT,WAIT,False
9,car2,13.89,74.424302861422,5.358121156329878,FREE,FREE,True
9,car3,13.89,92.1344959246898,6.633153054333318,FREE,FREE,True
10,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
10,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
10,car2,13.89,60.729560511966675,4.372178582574994,FREE,FREE,False
10,car3,13.89,78.36467959740932,5.641805586566545,FREE,FREE,False
11,car0,4.7748263676261615e-15,19.632547476284756,inf,PROCEED,PROCEED,False
11,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
11,car2,13.89,47.148649035974195,3.394431176096054,FREE,FREE,False
11,car3,13.89,64.64679329012537,4.654196781146535,FREE,FREE,False
