action,relative_path,old_sha256,new_sha256,reason,restore_source,git_commit
MODIFIED,docs/current_project_status.md,,d7abccf5d73d81b3b62951d4962f090c172391cadb0db4a4022804da32134d99,Record the Phase 18 branch and environment status,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,docs/project_inventory.md,,372d6d27d5985cddc061faba52dcf405192e7fd41030f90316753d5e45c27eb6,Add the new controller and pipeline modules,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,src/common/logging_schema.py,,e863512cd39480b6b8a4bc5983d8e6dbbeb1c43c547426ae6baf6bcbbb17f4b7,Add stage-level logging fields for decision separation,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,src/common/metrics.py,,68b82a25a4f498ab100da3f6720bd9e100c775704391da3029c25056c7c4b9aa,Extend empty records with raw/hybrid/safety trace fields,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,common.py,,0d04cafe92ab291af2e17f28f0b650dc398db3d3708b140980dcbf8ddbe1fbad,Populate the new trace-level record fields,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,src/llm/response_parser.py,,c2ca4dbdd6196dfcb173c338828ca8d56269ff60b20cbd98e9c948e304dccaca,Return both raw and validated LLM decisions,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,requirements.txt,,1dd5082c0aa591d4d944fd866adfa2a8ba80a19a43dc5e49cd44775dc1678cf8,Declare pytest/openai/python-dotenv for the project environment,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,baseline_controller.py,,5d97a1bc8d77e9dc6a2d8d185fe76419d4a5ee2145481626ab7b382f5363ae97,Populate new logging fields without changing baseline logic,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,cooperative_controller.py,,681996d39e4a387fa051b995f3dfd6bb548794ad3ed6fbeee547aa25af3977b2,Populate new logging fields without changing cooperative logic,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
MODIFIED,src/experiments/experiment_runner.py,,1d299c7225117f0af0e13fed18cc3f1f92ffb1e3163e5cbebe4dc11fee4e0e6b,Add controller mappings for the new decision-pipeline modes,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,src/controllers/__init__.py,,5384bfdb2df380b6557cc7a71d16891415bccaa87699406e236f752c6415389f,Create the shared controller package,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,src/controllers/decision_pipeline.py,,DF9C6B315371895931F8993FD7F245A02CB48E653AA6F20A3347DC72A70AC486,Shared raw/hybrid/safety execution pipeline,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,src/controllers/raw_llm_controller.py,,cd9ba4fa9ad2d35cd22eda65bbe9157c41cf021ba30ee31af86589c58f11b3fc,Raw LLM controller entrypoint,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
ADDED,src/controllers/hybrid_llm_controller.py,,b4036f0afc439a80a0efb7a93aa2bd455ea8bb94a27787b5ea31dfcd1c533d3c,Hybrid controller entrypoint,HEAD,24a339fd366b7c3c43d9dc414c415d6ac19f250e
