step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
0,car0,13.89,N_S,97.16946898540398,False,FREE,FREE
1,car0,13.89,N_S,83.33589966472377,False,FREE,FREE
2,car0,13.89,N_S,69.5242611457556,False,FREE,FREE
2,car1,13.032987,S_N,107.85692259382256,False,WAIT,WAIT
3,car0,13.89,N_S,55.750855129839394,False,FREE,FREE
3,car1,8.532987,S_N,99.34938792929435,False,WAIT,WAIT
4,car0,13.89,N_S,42.053264468579066,True,FREE,FREE
4,car1,4.032987,S_N,95.33001748631801,False,WAIT,WAIT
4,car2,13.89,E_W,143.4596018890417,False,WAIT,WAIT
5,car0,12.28633333333333,N_S,30.083439004700942,True,FREE,FREE
5,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
5,car2,9.39,E_W,134.10091626688936,False,WAIT,WAIT
6,car0,7.786333333333334,N_S,22.672944323839594,True,FREE,FREE
6,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
6,car2,4.890000000000001,E_W,129.2289868601159,False,WAIT,WAIT
6,car3,13.89,W_E,133.59474377038467,False,WAIT,WAIT
7,car0,3.2863333333333364,N_S,19.632547476284756,True,FREE,FREE
7,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
7,car2,0.39000000000000057,E_W,128.84048596420672,False,WAIT,WAIT
7,car3,9.39,W_E,124.23956141193834,False,WAIT,WAIT
8,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
8,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
8,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
8,car3,4.890000000000001,W_E,119.36990612274137,False,WAIT,WAIT
9,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
9,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
9,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
9,car3,0.39000000000000057,W_E,118.98160197502474,False,WAIT,WAIT
10,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
10,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
10,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
10,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
11,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
11,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
11,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
11,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
12,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
12,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
12,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
12,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
13,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
13,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
13,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
13,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
14,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
14,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
14,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
14,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
15,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
15,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
15,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
15,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
16,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
16,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
16,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
16,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
17,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
17,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
17,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
17,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
18,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
18,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
18,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
18,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
19,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,FREE,FREE
19,car1,0.0,S_N,95.33001748631801,False,WAIT,WAIT
19,car2,0.0,E_W,128.84048596420672,False,WAIT,WAIT
19,car3,0.0,W_E,118.98160197502474,False,WAIT,WAIT
20,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
20,car1,0.0,S_N,95.33001748631801,False,FREE,FREE
20,car2,0.0,E_W,128.84048596420672,False,FREE,FREE
20,car3,0.0,W_E,118.98160197502474,False,FREE,FREE
21,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
21,car1,2.6,S_N,92.73942389408919,False,FREE,FREE
21,car2,2.6,E_W,126.25071213426756,False,FREE,FREE
21,car3,2.6,W_E,116.39320290799574,False,FREE,FREE
22,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
22,car1,5.2,S_N,87.55991267012014,False,FREE,FREE
22,car2,5.2,E_W,121.07245725684581,False,FREE,FREE
22,car3,5.2,W_E,111.21805813459528,False,FREE,FREE
23,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
23,car1,7.800000000000001,S_N,79.79565154716009,False,FREE,FREE
23,car2,7.800000000000001,E_W,113.30874996588412,False,FREE,FREE
23,car3,7.800000000000001,W_E,103.4600945786844,False,FREE,FREE
24,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
24,car1,10.4,S_N,69.45578066293037,False,FREE,FREE
24,car2,10.4,E_W,102.96555191992047,False,FREE,FREE
24,car3,10.4,W_E,93.12723391412052,False,FREE,FREE
25,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
25,car1,13.0,S_N,56.56199130177529,False,FREE,FREE
25,car2,13.0,E_W,90.05473078139086,False,FREE,FREE
25,car3,13.0,W_E,80.23586807101516,False,FREE,FREE
26,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
26,car1,13.032987,S_N,43.698757216762324,True,FREE,FREE
26,car2,13.89,E_W,76.29316518932187,False,FREE,FREE
26,car3,13.89,W_E,66.50914693740543,False,FREE,FREE
