step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
0,car0,13.89,N_S,97.16946898540398,False,FREE,FREE
1,car0,13.89,N_S,83.33589966472377,False,FREE,FREE
2,car0,13.89,N_S,69.5242611457556,False,FREE,FREE
2,car1,13.032987,S_N,107.85692259382256,False,FREE,FREE
3,car0,13.89,N_S,55.750855129839394,False,FREE,FREE
3,car1,13.032987,S_N,94.86465607799397,False,FREE,FREE
4,car0,13.89,N_S,42.053264468579066,True,PROCEED,PROCEED
4,car1,13.032987,S_N,81.88536031907589,False,FREE,FREE
4,car2,13.89,E_W,143.4596018890417,False,FREE,FREE
5,car0,12.28633333333333,N_S,30.083439004700942,True,PROCEED,PROCEED
5,car1,13.032987,S_N,68.92636314775547,False,FREE,FREE
5,car2,13.89,E_W,129.6174966039146,False,FREE,FREE
6,car0,7.786333333333334,N_S,22.672944323839594,True,PROCEED,PROCEED
6,car1,13.032987,S_N,56.00175782393088,False,FREE,FREE
6,car2,13.89,E_W,115.78664171631453,False,FREE,FREE
6,car3,13.89,W_E,133.59474377038467,False,FREE,FREE
7,car0,3.2863333333333364,N_S,19.632547476284756,True,PROCEED,PROCEED
7,car1,13.032987,S_N,43.142464722900435,True,PROCEED,PROCEED
7,car2,13.89,E_W,101.97161515044984,False,FREE,FREE
7,car3,13.89,W_E,119.7582214991177,False,FREE,FREE
8,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
8,car1,12.658021666666667,S_N,30.793335854128383,True,PROCEED,PROCEED
8,car2,13.89,E_W,88.17985662958185,False,FREE,FREE
8,car3,13.89,W_E,105.935994238844,False,FREE,FREE
9,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
9,car1,8.158021666666667,S_N,23.01301334170258,True,PROCEED,PROCEED
9,car2,13.89,E_W,74.424302861422,False,FREE,FREE
9,car3,13.89,W_E,92.1344959246898,False,FREE,FREE
10,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
10,car1,3.6580216666666665,S_N,19.62423205524667,True,PROCEED,PROCEED
10,car2,13.89,E_W,60.729560511966675,False,FREE,FREE
10,car3,13.89,W_E,78.36467959740932,False,FREE,FREE
11,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
11,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
11,car2,13.89,E_W,47.148649035974195,False,FREE,FREE
11,car3,13.89,W_E,64.64679329012537,False,FREE,FREE
12,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
12,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
12,car2,13.89,E_W,33.818983045491116,True,WAIT,WAIT
12,car3,13.89,W_E,51.02273965764107,False,FREE,FREE
13,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
13,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
13,car2,9.39,E_W,25.15309650219404,True,WAIT,WAIT
13,car3,13.89,W_E,37.594670457796035,True,WAIT,WAIT
14,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
14,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
14,car2,4.890000000000001,E_W,20.889297399849045,True,WAIT,WAIT
14,car3,9.39,W_E,28.767166275914157,True,WAIT,WAIT
15,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
15,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
15,car2,0.39000000000000057,E_W,20.561240390005157,True,WAIT,WAIT
15,car3,4.890000000000001,W_E,24.33763322719293,True,WAIT,WAIT
16,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
16,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
16,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
16,car3,0.39000000000000057,W_E,23.992067339033696,True,WAIT,WAIT
17,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
17,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
17,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
17,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
18,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
18,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
18,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
18,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
19,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
19,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
19,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
19,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
20,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
20,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
20,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
20,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
21,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
21,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
21,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
21,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
22,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
22,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
22,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
22,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
23,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
23,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
23,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
23,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
24,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
24,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
24,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
24,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
25,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
25,car1,0.0,S_N,19.62423205524667,True,PROCEED,PROCEED
25,car2,0.0,E_W,20.561240390005157,True,WAIT,WAIT
25,car3,0.0,W_E,23.992067339033696,True,WAIT,WAIT
26,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
