"source_path","dataset","vehicle_count","seed","controller","simulation_step","simulation_time_seconds","vehicle_id","route_id","final_decision"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","0","0","car0","N_S","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","1","1","car0","N_S","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","2","2","car0","N_S","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","2","2","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","3","3","car0","N_S","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","3","3","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","4","4","car0","N_S","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","4","4","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","4","4","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","5","5","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","5","5","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","5","5","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","6","6","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","6","6","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","6","6","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","6","6","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","7","7","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","7","7","car1","S_N","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","7","7","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","7","7","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","8","8","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","8","8","car1","S_N","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","8","8","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","8","8","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","9","9","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","9","9","car1","S_N","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","9","9","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","9","9","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","10","10","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","10","10","car1","S_N","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","10","10","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","10","10","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","11","11","car0","N_S","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","11","11","car1","S_N","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","11","11","car2","E_W","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","11","11","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","12","12","car0","N_S","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","12","12","car1","S_N","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","12","12","car2","E_W","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","12","12","car3","W_E","FREE"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","13","13","car0","N_S","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","13","13","car1","S_N","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","13","13","car2","E_W","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","13","13","car3","W_E","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","14","14","car0","N_S","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","14","14","car1","S_N","WAIT"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","14","14","car2","E_W","PROCEED"
"results/formal_experiment/dissertation_formal_v2/runs/seed1_v4/FE04_RAW_LLM_v4_seed1_real/step_records.csv","dissertation_formal_v2","4","1","RawLLM","14","14","car3","W_E","PROCEED"
