scenario_class,vehicle_count,seed,initial_demand_signature_match,deterministic_run_id,gemini_run_id,deterministic_completion_rate,gemini_completion_rate,completion_rate_delta,deterministic_throughput,gemini_throughput,throughput_delta,deterministic_mean_waiting_time,gemini_mean_waiting_time,mean_waiting_time_delta,deterministic_maximum_waiting_time,gemini_maximum_waiting_time,deterministic_mean_speed,gemini_mean_speed,mean_speed_delta,deterministic_episode_duration_seconds,gemini_episode_duration_seconds,episode_duration_delta_seconds,deterministic_collision_count,gemini_collision_count,deterministic_safety_interventions,gemini_safety_interventions,gemini_fallback_count,gemini_request_count,agreement_count,disagreement_count,gemini_total_tokens,maximum_waiting_time_delta,collision_delta,safety_intervention_delta
S1_BALANCED_MIXED_TURN,8,1,True,phase2_formal_batch1_s1_balanced_mixed_turn_v8_seed1_deterministic_candidate,phase2_formal_batch1_s1_balanced_mixed_turn_v8_seed1_gemini_candidate,1.0,1.0,0.0,8,8,0,10.5,10.5,0.0,25.0,25.0,7.187910447761193,7.187910447761193,0.0,74.0,74.0,0.0,0,0,0,0,0,7,7,0,6350,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,8,1,True,phase2_formal_batch1_s3_cooperative_opportunity_v8_seed1_deterministic_candidate,phase2_formal_batch1_s3_cooperative_opportunity_v8_seed1_gemini_candidate,1.0,1.0,0.0,8,8,0,6.625,6.625,0.0,14.0,14.0,7.802660944206006,7.802660944206006,0.0,43.0,43.0,0.0,0,0,0,0,0,4,4,0,7087,0.0,0,0
S4_FAIRNESS_PRESSURE,8,1,True,phase2_formal_batch1_s4_fairness_pressure_v8_seed1_deterministic_candidate,phase2_formal_batch1_s4_fairness_pressure_v8_seed1_gemini_candidate,1.0,1.0,0.0,8,8,0,5.75,5.75,0.0,20.0,20.0,8.303050847457625,8.303050847457625,0.0,43.0,43.0,0.0,0,0,0,0,0,4,4,0,7919,0.0,0,0
S1_BALANCED_MIXED_TURN,8,2,True,phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed2_deterministic_candidate,phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed2_gemini_candidate,1.0,1.0,0.0,8,8,0,10.125,10.125,0.0,23.0,23.0,7.152463235294114,7.152463235294114,0.0,75.0,75.0,0.0,0,0,0,0,0,7,7,0,6675,0.0,0,0
S1_BALANCED_MIXED_TURN,8,3,True,phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed3_deterministic_candidate,phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed3_gemini_candidate,1.0,1.0,0.0,8,8,0,8.625,8.625,0.0,19.0,19.0,7.597549407114622,7.597549407114622,0.0,71.0,71.0,0.0,0,0,0,0,0,7,7,0,6648,0.0,0,0
S2_SIMULTANEOUS_CONFLICT,8,1,True,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed1_deterministic_candidate,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed1_gemini_candidate,1.0,1.0,0.0,8,8,0,11.125,10.125,-1.0,30.0,29.0,7.215611510791367,7.629360902255638,0.4137493914642709,53.0,52.0,-1.0,0,0,0,0,0,5,4,1,8141,-1.0,0,0
S2_SIMULTANEOUS_CONFLICT,8,2,True,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed2_deterministic_candidate,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed2_gemini_candidate,1.0,1.0,0.0,8,8,0,11.125,11.125,0.0,30.0,30.0,7.048421052631576,7.048421052631576,0.0,57.0,57.0,0.0,0,0,0,0,0,5,5,0,8139,0.0,0,0
S2_SIMULTANEOUS_CONFLICT,8,3,True,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed3_deterministic_candidate,phase2_formal_batch2_s2_simultaneous_conflict_v8_seed3_gemini_candidate,1.0,1.0,0.0,8,8,0,11.25,11.25,0.0,32.0,32.0,7.218057553956834,7.218057553956834,0.0,54.0,54.0,0.0,0,0,0,0,0,5,5,0,7521,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,8,2,True,phase2_formal_batch2_s3_cooperative_opportunity_v8_seed2_deterministic_candidate,phase2_formal_batch2_s3_cooperative_opportunity_v8_seed2_gemini_candidate,1.0,1.0,0.0,8,8,0,7.5,7.5,0.0,18.0,18.0,7.449596774193545,7.449596774193545,0.0,49.0,49.0,0.0,0,0,0,0,0,4,4,0,7442,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,8,3,True,phase2_formal_batch2_s3_cooperative_opportunity_v8_seed3_deterministic_candidate,phase2_formal_batch2_s3_cooperative_opportunity_v8_seed3_gemini_candidate,1.0,1.0,0.0,8,8,0,6.0,6.0,0.0,13.0,13.0,8.131929824561402,8.131929824561402,0.0,45.0,45.0,0.0,0,0,0,0,0,4,4,0,7104,0.0,0,0
S4_FAIRNESS_PRESSURE,8,2,True,phase2_formal_batch2_s4_fairness_pressure_v8_seed2_deterministic_candidate,phase2_formal_batch2_s4_fairness_pressure_v8_seed2_gemini_candidate,1.0,1.0,0.0,8,8,0,6.25,6.25,0.0,23.0,23.0,7.877368421052626,7.877368421052626,0.0,46.0,46.0,0.0,0,0,0,0,0,4,4,0,7929,0.0,0,0
S4_FAIRNESS_PRESSURE,8,3,True,phase2_formal_batch2_s4_fairness_pressure_v8_seed3_deterministic_candidate,phase2_formal_batch2_s4_fairness_pressure_v8_seed3_gemini_candidate,1.0,1.0,0.0,8,8,0,5.375,5.375,0.0,19.0,19.0,8.441077586206891,8.441077586206891,0.0,43.0,43.0,0.0,0,0,0,0,0,4,4,0,7918,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,12,1,True,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed1_deterministic_candidate,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed1_gemini_candidate,1.0,1.0,0.0,12,12,0,8.083333333333334,9.583333333333334,1.5,23.0,23.0,7.3367473118279545,6.981994884910487,-0.3547524269174671,52.0,52.0,0.0,0,0,0,0,0,5,4,1,16663,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,12,2,True,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed2_deterministic_candidate,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed2_gemini_candidate,1.0,1.0,0.0,12,12,0,9.5,11.0,1.5,27.0,27.0,6.8736868686868675,6.5546394230769245,-0.319047445609943,58.0,58.0,0.0,0,0,0,0,0,5,4,1,17001,0.0,0,0
S3_COOPERATIVE_OPPORTUNITY,12,3,True,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed3_deterministic_candidate,phase2_formal_batch2_s3_cooperative_opportunity_v12_seed3_gemini_candidate,1.0,1.0,0.0,12,12,0,6.833333333333333,8.833333333333334,2.000000000000001,20.0,23.0,7.721189801699716,7.1620472440944845,-0.5591425576052318,52.0,55.0,3.0,0,0,0,0,0,5,4,1,16699,3.0,0,0
S4_FAIRNESS_PRESSURE,16,1,True,phase2_formal_batch2_s4_fairness_pressure_v16_seed1_deterministic_candidate,phase2_formal_batch2_s4_fairness_pressure_v16_seed1_gemini_candidate,1.0,1.0,0.0,16,16,0,9.4375,9.4375,0.0,33.0,33.0,7.3216885553470945,7.3216885553470945,0.0,65.0,65.0,0.0,0,0,0,0,0,6,6,0,23576,0.0,0,0
