run_id,scenario_class,vehicle_count,seed,planner,initial_demand_signature,departed,arrived,completion_rate,throughput,mean_waiting_time,maximum_waiting_time,mean_speed,episode_duration_seconds,collision_count,decision_epoch_count,grant_count,mean_grant_duration_seconds,grant_timeout_count,safety_intervention_count,gemini_request_count,provider_success_count,parser_success_count,fallback_count,fallback_rate,mean_latency_ms,prompt_tokens,completion_tokens,total_tokens,agreement_count,disagreement_count
phase2_formal_batch1_s1_balanced_mixed_turn_v8_seed1_deterministic_candidate,S1_BALANCED_MIXED_TURN,8,1,DETERMINISTIC_CANDIDATE,A47B00EF23E65C6684F365EA9C1885EE0CFC8DA3BD528C93C2AAB17CDDF48AC0,8,8,1.0,8,10.5,25.0,7.187910447761193,74.0,0,7,7,8.714285714285714,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch1_s1_balanced_mixed_turn_v8_seed1_gemini_candidate,S1_BALANCED_MIXED_TURN,8,1,GEMINI_CANDIDATE,A47B00EF23E65C6684F365EA9C1885EE0CFC8DA3BD528C93C2AAB17CDDF48AC0,8,8,1.0,8,10.5,25.0,7.187910447761193,74.0,0,7,7,8.714285714285714,0,0,7,7,7,0,0.0,9968.607142857143,6112,238,6350,7,0
phase2_formal_batch1_s3_cooperative_opportunity_v8_seed1_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,8,1,DETERMINISTIC_CANDIDATE,0E0C1FD4BD3C8ABEB89EFB550BF01811B02476761DD8D3C0D6A0681955A25411,8,8,1.0,8,6.625,14.0,7.802660944206006,43.0,0,4,4,8.5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch1_s3_cooperative_opportunity_v8_seed1_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,8,1,GEMINI_CANDIDATE,0E0C1FD4BD3C8ABEB89EFB550BF01811B02476761DD8D3C0D6A0681955A25411,8,8,1.0,8,6.625,14.0,7.802660944206006,43.0,0,4,4,8.5,0,0,4,4,4,0,0.0,1779.4624999999999,6885,202,7087,4,0
phase2_formal_batch1_s4_fairness_pressure_v8_seed1_deterministic_candidate,S4_FAIRNESS_PRESSURE,8,1,DETERMINISTIC_CANDIDATE,77139D085F5E2F41537A82A51F12DFD3DB09D51BF2F0FDF696D6E6191B55FDFB,8,8,1.0,8,5.75,20.0,8.303050847457625,43.0,0,4,4,8.75,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch1_s4_fairness_pressure_v8_seed1_gemini_candidate,S4_FAIRNESS_PRESSURE,8,1,GEMINI_CANDIDATE,77139D085F5E2F41537A82A51F12DFD3DB09D51BF2F0FDF696D6E6191B55FDFB,8,8,1.0,8,5.75,20.0,8.303050847457625,43.0,0,4,4,8.75,0,0,4,4,4,0,0.0,5271.875,7723,196,7919,4,0
phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed2_deterministic_candidate,S1_BALANCED_MIXED_TURN,8,2,DETERMINISTIC_CANDIDATE,ED1F9A91FA6CCC3E598254180A6D0924CE029FC86CC1773DD89F9C5B82FDC399,8,8,1.0,8,10.125,23.0,7.152463235294114,75.0,0,7,7,8.571428571428571,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed2_gemini_candidate,S1_BALANCED_MIXED_TURN,8,2,GEMINI_CANDIDATE,ED1F9A91FA6CCC3E598254180A6D0924CE029FC86CC1773DD89F9C5B82FDC399,8,8,1.0,8,10.125,23.0,7.152463235294114,75.0,0,7,7,8.571428571428571,0,0,7,7,7,0,0.0,8689.26,6444,231,6675,7,0
phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed3_deterministic_candidate,S1_BALANCED_MIXED_TURN,8,3,DETERMINISTIC_CANDIDATE,234D1EBA4742398CBB63396B18ECB53E7F94CFC4D0F2FE43C2CCC2E50CA58605,8,8,1.0,8,8.625,19.0,7.597549407114622,71.0,0,7,7,8.285714285714286,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s1_balanced_mixed_turn_v8_seed3_gemini_candidate,S1_BALANCED_MIXED_TURN,8,3,GEMINI_CANDIDATE,234D1EBA4742398CBB63396B18ECB53E7F94CFC4D0F2FE43C2CCC2E50CA58605,8,8,1.0,8,8.625,19.0,7.597549407114622,71.0,0,7,7,8.285714285714286,0,0,7,7,7,0,0.0,13640.584285714285,6423,225,6648,7,0
